Target Distance: 1000, Step Size: 10
1958 (x, y) = (158.064, 521.557)
1959 (x, y) = (149.396, 526.544)
1960 (x, y) = (158.151, 531.377)
1961 (x, y) = (166.493, 536.892)
1962 (x, y) = (156.7, 538.913)
1963 (x, y) = (166.168, 535.697)
1964 (x, y) = (176.068, 534.286)
1965 (x, y) = (169.667, 526.603)
1966 (x, y) = (178.245, 531.744)
1967 (x, y) = (186.683, 526.378)
1968 (x, y) = (181.059, 534.646)
1969 (x, y) = (172.436, 529.582)
1970 (x, y) = (170.284, 539.348)
1971 (x, y) = (174.922, 548.207)
1972 (x, y) = (184.14, 544.33)
1973 (x, y) = (177.875, 536.535)
1974 (x, y) = (171.011, 529.263)
1975 (x, y) = (173.932, 538.827)
1976 (x, y) = (183.76, 540.675)
1977 (x, y) = (192.471, 535.765)
1978 (x, y) = (199.952, 529.129)
1979 (x, y) = (208.437, 534.42)
1980 (x, y) = (200.841, 540.923)
1981 (x, y) = (192.856, 534.902)
1982 (x, y) = (186.319, 527.334)
1983 (x, y) = (193.312, 520.186)
1984 (x, y) = (197.473, 529.279)
1985 (x, y) = (187.492, 528.659)
1986 (x, y) = (187.448, 518.66)
1987 (x, y) = (193.644, 526.509)
1988 (x, y) = (188.24, 534.924)
1989 (x, y) = (186.089, 544.69)
1990 (x, y) = (186.221, 554.689)
1991 (x, y) = (196.207, 555.22)
1992 (x, y) = (205.004, 550.464)
1993 (x, y) = (214.444, 553.764)
1994 (x, y) = (206.567, 547.604)
1995 (x, y) = (200.797, 555.771)
1996 (x, y) = (203.035, 546.025)
1997 (x, y) = (193.06, 546.732)
1998 (x, y) = (202.904, 544.972)
1999 (x, y) = (203.036, 554.971)
2000 (x, y) = (200.369, 564.609)
2001 (x, y) = (190.873, 567.741)
2002 (x, y) = (197.342, 575.366)
2003 (x, y) = (204.142, 582.698)
2004 (x, y) = (200.968, 573.215)
2005 (x, y) = (208.086, 566.191)
2006 (x, y) = (214.555, 573.817)
2007 (x, y) = (219.193, 582.676)
2008 (x, y) = (224.817, 590.945)
2009 (x, y) = (214.849, 590.149)
2010 (x, y) = (213.307, 580.269)
2011 (x, y) = (206.005, 587.101)
2012 (x, y) = (198.466, 593.671)
2013 (x, y) = (203.644, 585.116)
2014 (x, y) = (200.385, 594.57)
2015 (x, y) = (200.076, 604.565)
2016 (x, y) = (190.45, 607.274)
2017 (x, y) = (180.475, 607.982)
2018 (x, y) = (188.406, 614.072)
2019 (x, y) = (196.891, 619.363)
2020 (x, y) = (205.73, 624.041)
2021 (x, y) = (197.64, 618.163)
2022 (x, y) = (205.625, 612.143)
2023 (x, y) = (195.657, 611.347)
2024 (x, y) = (204.411, 616.18)
2025 (x, y) = (194.488, 617.416)
2026 (x, y) = (204.474, 617.947)
2027 (x, y) = (208.875, 608.967)
2028 (x, y) = (207.158, 599.116)
2029 (x, y) = (202.442, 590.298)
2030 (x, y) = (197.882, 581.398)
2031 (x, y) = (192.479, 589.812)
2032 (x, y) = (183.947, 584.597)
2033 (x, y) = (175.754, 578.863)
2034 (x, y) = (165.773, 578.244)
2035 (x, y) = (155.775, 578.42)
2036 (x, y) = (164.398, 573.357)
2037 (x, y) = (161.477, 582.92)
2038 (x, y) = (171.288, 580.986)
2039 (x, y) = (172.83, 571.106)
2040 (x, y) = (175.154, 580.832)
2041 (x, y) = (183.908, 585.665)
2042 (x, y) = (174.624, 581.951)
2043 (x, y) = (183.661, 577.669)
2044 (x, y) = (193.52, 579.343)
2045 (x, y) = (202.143, 574.279)
2046 (x, y) = (192.494, 571.655)
2047 (x, y) = (189.998, 581.339)
2048 (x, y) = (187.502, 591.022)
2049 (x, y) = (181.447, 598.98)
2050 (x, y) = (188.311, 591.709)
2051 (x, y) = (185.645, 601.347)
2052 (x, y) = (194.483, 606.024)
2053 (x, y) = (203.107, 600.961)
2054 (x, y) = (213.03, 602.197)
2055 (x, y) = (220.74, 608.564)
2056 (x, y) = (230.715, 609.272)
2057 (x, y) = (221.398, 612.903)
2058 (x, y) = (218.224, 603.421)
2059 (x, y) = (212.896, 594.958)
2060 (x, y) = (204.603, 589.37)
2061 (x, y) = (195.163, 592.67)
2062 (x, y) = (204.857, 590.218)
2063 (x, y) = (194.998, 591.891)
2064 (x, y) = (185.155, 590.13)
2065 (x, y) = (179.241, 598.194)
2066 (x, y) = (170.024, 594.316)
2067 (x, y) = (175.277, 602.825)
2068 (x, y) = (166.838, 597.459)
2069 (x, y) = (156.878, 598.343)
2070 (x, y) = (149.698, 605.303)
2071 (x, y) = (150.889, 615.232)
2072 (x, y) = (153.895, 605.695)
2073 (x, y) = (162.692, 600.939)
2074 (x, y) = (165.188, 610.623)
2075 (x, y) = (173.481, 605.035)
2076 (x, y) = (181.823, 610.55)
2077 (x, y) = (186.772, 619.239)
2078 (x, y) = (181.148, 627.507)
2079 (x, y) = (176.986, 636.6)
2080 (x, y) = (186.859, 635.015)
2081 (x, y) = (178.021, 639.692)
2082 (x, y) = (183.498, 648.058)
2083 (x, y) = (177.656, 639.942)
2084 (x, y) = (176.816, 649.907)
2085 (x, y) = (167.144, 652.445)
2086 (x, y) = (171.624, 661.385)
2087 (x, y) = (175.785, 670.478)
2088 (x, y) = (171.866, 679.678)
2089 (x, y) = (166.917, 688.368)
2090 (x, y) = (174.514, 694.871)
2091 (x, y) = (183.661, 690.831)
2092 (x, y) = (176.181, 684.194)
2093 (x, y) = (168.47, 690.562)
2094 (x, y) = (172.632, 681.469)
2095 (x, y) = (178.896, 673.674)
2096 (x, y) = (171.13, 667.375)
2097 (x, y) = (172.497, 677.281)
2098 (x, y) = (181.294, 672.526)
2099 (x, y) = (177.294, 663.361)
2100 (x, y) = (179.876, 653.7)
2101 (x, y) = (184.037, 644.607)
2102 (x, y) = (185.405, 654.513)
2103 (x, y) = (184.565, 664.478)
2104 (x, y) = (189.743, 655.923)
2105 (x, y) = (195.938, 663.772)
2106 (x, y) = (201.341, 672.187)
2107 (x, y) = (192.673, 677.174)
2108 (x, y) = (189.583, 686.685)
2109 (x, y) = (199.339, 688.879)
2110 (x, y) = (189.387, 687.907)
2111 (x, y) = (197.58, 682.174)
2112 (x, y) = (194.913, 691.812)
2113 (x, y) = (203.912, 696.173)
2114 (x, y) = (196.856, 703.26)
2115 (x, y) = (199.777, 712.824)
2116 (x, y) = (192.66, 705.8)
2117 (x, y) = (185.859, 713.132)
2118 (x, y) = (190.654, 721.907)
2119 (x, y) = (180.917, 719.627)
2120 (x, y) = (189.629, 714.716)
2121 (x, y) = (194.957, 706.254)
2122 (x, y) = (204.925, 705.459)
2123 (x, y) = (200.366, 696.559)
2124 (x, y) = (206.902, 704.127)
2125 (x, y) = (202.343, 695.227)
2126 (x, y) = (212.255, 693.903)
2127 (x, y) = (219.852, 700.406)
2128 (x, y) = (211.867, 694.386)
2129 (x, y) = (219.852, 688.366)
2130 (x, y) = (216.015, 679.132)
2131 (x, y) = (216.324, 689.127)
2132 (x, y) = (226.198, 687.541)
2133 (x, y) = (219.018, 694.502)
2134 (x, y) = (221.428, 684.796)
2135 (x, y) = (225.749, 693.814)
2136 (x, y) = (235.717, 693.019)
2137 (x, y) = (225.906, 691.084)
2138 (x, y) = (225.155, 681.112)
2139 (x, y) = (232.21, 688.199)
2140 (x, y) = (240.504, 682.611)
2141 (x, y) = (249.943, 685.911)
2142 (x, y) = (241.064, 681.312)
2143 (x, y) = (249.818, 686.146)
2144 (x, y) = (257.908, 680.268)
2145 (x, y) = (253.114, 689.044)
2146 (x, y) = (260.536, 695.746)
2147 (x, y) = (267.898, 688.978)
2148 (x, y) = (263.103, 697.754)
2149 (x, y) = (270.345, 690.857)
2150 (x, y) = (278.588, 696.518)
2151 (x, y) = (271.226, 689.751)
2152 (x, y) = (273.464, 680.004)
2153 (x, y) = (283.065, 677.21)
2154 (x, y) = (292.939, 675.624)
2155 (x, y) = (302.9, 676.508)
2156 (x, y) = (303.298, 666.516)
2157 (x, y) = (304.402, 656.577)
2158 (x, y) = (295.734, 661.564)
2159 (x, y) = (302.852, 654.541)
2160 (x, y) = (304.395, 644.66)
2161 (x, y) = (306.805, 634.955)
2162 (x, y) = (300.471, 642.694)
2163 (x, y) = (291.003, 639.477)
2164 (x, y) = (287.003, 630.312)
2165 (x, y) = (285.635, 640.218)
2166 (x, y) = (295.535, 638.807)
2167 (x, y) = (286.125, 635.424)
2168 (x, y) = (293.366, 628.527)
2169 (x, y) = (287.524, 620.411)
2170 (x, y) = (294.517, 613.262)
2171 (x, y) = (302.81, 607.675)
2172 (x, y) = (306.152, 598.25)
2173 (x, y) = (297.397, 603.082)
2174 (x, y) = (296.029, 612.988)
2175 (x, y) = (291.948, 622.118)
2176 (x, y) = (301.388, 625.418)
2177 (x, y) = (294.147, 618.521)
2178 (x, y) = (292.169, 628.323)
2179 (x, y) = (297.939, 636.491)
2180 (x, y) = (287.995, 637.551)
2181 (x, y) = (285.499, 647.234)
2182 (x, y) = (293.692, 641.501)
2183 (x, y) = (303.604, 640.177)
2184 (x, y) = (310.339, 632.785)
2185 (x, y) = (300.815, 629.737)
2186 (x, y) = (308.237, 636.439)
2187 (x, y) = (305.485, 626.825)
2188 (x, y) = (310.587, 635.426)
2189 (x, y) = (301.404, 639.385)
2190 (x, y) = (292.607, 634.63)
2191 (x, y) = (293.447, 644.595)
2192 (x, y) = (287.391, 652.553)
2193 (x, y) = (284.982, 642.847)
2194 (x, y) = (294.479, 645.98)
2195 (x, y) = (304.431, 645.008)
2196 (x, y) = (294.463, 644.212)
2197 (x, y) = (304.463, 644.124)
2198 (x, y) = (297.793, 651.575)
2199 (x, y) = (303.848, 659.533)
2200 (x, y) = (304.512, 669.511)
2201 (x, y) = (295.889, 664.447)
2202 (x, y) = (286.029, 666.12)
2203 (x, y) = (276.403, 668.83)
2204 (x, y) = (280.805, 659.85)
2205 (x, y) = (287.734, 667.061)
2206 (x, y) = (297.633, 668.472)
2207 (x, y) = (303.331, 660.254)
2208 (x, y) = (294.256, 664.456)
2209 (x, y) = (290.095, 673.549)
2210 (x, y) = (299.132, 669.267)
2211 (x, y) = (289.815, 672.899)
2212 (x, y) = (288.185, 682.765)
2213 (x, y) = (281.715, 690.39)
2214 (x, y) = (276.921, 699.166)
2215 (x, y) = (269.992, 706.377)
2216 (x, y) = (261.195, 701.621)
2217 (x, y) = (262.211, 711.569)
2218 (x, y) = (252.742, 708.353)
2219 (x, y) = (254.893, 718.119)
2220 (x, y) = (250.413, 727.059)
2221 (x, y) = (251.341, 717.102)
2222 (x, y) = (243.574, 710.803)
2223 (x, y) = (233.63, 711.863)
2224 (x, y) = (242.342, 706.953)
2225 (x, y) = (234.252, 701.075)
2226 (x, y) = (227.918, 708.813)
2227 (x, y) = (218.701, 704.935)
2228 (x, y) = (208.701, 704.847)
2229 (x, y) = (218.676, 705.554)
2230 (x, y) = (227.067, 700.114)
2231 (x, y) = (235.506, 694.749)
2232 (x, y) = (227.521, 688.728)
2233 (x, y) = (227.83, 698.724)
2234 (x, y) = (237.704, 697.138)
2235 (x, y) = (232.832, 688.405)
2236 (x, y) = (241.587, 693.238)
2237 (x, y) = (238.413, 683.755)
2238 (x, y) = (236.089, 693.481)
2239 (x, y) = (235.514, 683.498)
2240 (x, y) = (233.623, 673.678)
2241 (x, y) = (240.741, 666.654)
2242 (x, y) = (233.685, 673.741)
2243 (x, y) = (240.222, 666.173)
2244 (x, y) = (233.23, 659.024)
2245 (x, y) = (236.488, 668.478)
2246 (x, y) = (240.809, 677.496)
2247 (x, y) = (233.212, 683.999)
2248 (x, y) = (238.314, 692.6)
2249 (x, y) = (238.093, 682.602)
2250 (x, y) = (231.898, 690.452)
2251 (x, y) = (221.945, 689.48)
2252 (x, y) = (215.89, 697.438)
2253 (x, y) = (223.311, 704.14)
2254 (x, y) = (220.901, 694.435)
2255 (x, y) = (226.671, 702.602)
2256 (x, y) = (225.655, 712.551)
2257 (x, y) = (216.158, 715.683)
2258 (x, y) = (225.76, 712.889)
2259 (x, y) = (216.685, 717.09)
2260 (x, y) = (213.095, 726.423)
2261 (x, y) = (220.336, 719.526)
2262 (x, y) = (213.934, 711.844)
2263 (x, y) = (209.613, 720.862)
2264 (x, y) = (214.638, 712.216)
2265 (x, y) = (205.198, 715.516)
2266 (x, y) = (211.735, 723.084)
2267 (x, y) = (202.855, 718.485)
2268 (x, y) = (207.881, 709.84)
2269 (x, y) = (206.864, 719.788)
2270 (x, y) = (216.861, 719.523)
2271 (x, y) = (226.463, 716.729)
2272 (x, y) = (221.285, 708.173)
2273 (x, y) = (216.413, 699.44)
2274 (x, y) = (226.241, 701.288)
2275 (x, y) = (235.818, 698.409)
2276 (x, y) = (227.379, 693.043)
2277 (x, y) = (229.357, 702.846)
2278 (x, y) = (219.363, 703.2)
2279 (x, y) = (222.2, 693.61)
2280 (x, y) = (230.022, 699.84)
2281 (x, y) = (222.368, 693.405)
2282 (x, y) = (230.946, 698.545)
2283 (x, y) = (235.268, 707.563)
2284 (x, y) = (225.287, 706.944)
2285 (x, y) = (234.167, 702.345)
2286 (x, y) = (242.46, 696.757)
2287 (x, y) = (238.46, 687.592)
2288 (x, y) = (228.462, 687.769)
2289 (x, y) = (229.566, 677.83)
2290 (x, y) = (222.574, 670.681)
2291 (x, y) = (231.923, 667.132)
2292 (x, y) = (239.519, 673.635)
2293 (x, y) = (247.45, 679.726)
2294 (x, y) = (239.012, 674.36)
2295 (x, y) = (248.361, 670.81)
2296 (x, y) = (240.43, 676.901)
2297 (x, y) = (238.106, 686.627)
2298 (x, y) = (242.427, 695.645)
2299 (x, y) = (250.249, 701.875)
2300 (x, y) = (254.25, 692.71)
2301 (x, y) = (264.23, 692.091)
2302 (x, y) = (255.937, 686.503)
2303 (x, y) = (258.261, 696.23)
2304 (x, y) = (256.544, 686.378)
2305 (x, y) = (265.727, 690.338)
2306 (x, y) = (256.442, 686.623)
2307 (x, y) = (263.045, 679.114)
2308 (x, y) = (259.704, 669.688)
2309 (x, y) = (250.387, 673.32)
2310 (x, y) = (250.166, 663.322)
2311 (x, y) = (245.924, 654.267)
2312 (x, y) = (243.86, 644.482)
2313 (x, y) = (253.858, 644.659)
2314 (x, y) = (245.768, 638.781)
2315 (x, y) = (238.712, 645.868)
2316 (x, y) = (245.182, 653.493)
2317 (x, y) = (236.604, 658.633)
2318 (x, y) = (228.95, 652.197)
2319 (x, y) = (221.528, 658.899)
2320 (x, y) = (212.996, 653.684)
2321 (x, y) = (204.328, 658.671)
2322 (x, y) = (213.167, 663.348)
2323 (x, y) = (222.861, 660.896)
2324 (x, y) = (220.11, 651.282)
2325 (x, y) = (214.125, 643.27)
2326 (x, y) = (207.07, 650.357)
2327 (x, y) = (213.998, 657.567)
2328 (x, y) = (204.171, 659.415)
2329 (x, y) = (205.975, 669.251)
2330 (x, y) = (197.782, 663.517)
2331 (x, y) = (188.497, 659.803)
2332 (x, y) = (181.256, 652.906)
2333 (x, y) = (190.605, 649.357)
2334 (x, y) = (185.202, 640.942)
2335 (x, y) = (179.432, 649.109)
2336 (x, y) = (180.975, 639.229)
2337 (x, y) = (171, 639.936)
2338 (x, y) = (161, 639.848)
2339 (x, y) = (170.349, 636.298)
2340 (x, y) = (167.683, 645.936)
2341 (x, y) = (158.684, 650.298)
2342 (x, y) = (163.556, 641.565)
2343 (x, y) = (173.508, 640.593)
2344 (x, y) = (183.134, 643.302)
2345 (x, y) = (173.2, 642.154)
2346 (x, y) = (175.265, 632.37)
2347 (x, y) = (168.148, 625.346)
2348 (x, y) = (163.588, 616.445)
2349 (x, y) = (158.111, 624.812)
2350 (x, y) = (165.04, 632.023)
2351 (x, y) = (174.939, 633.434)
2352 (x, y) = (184.826, 634.933)
2353 (x, y) = (191.363, 642.501)
2354 (x, y) = (189.039, 652.227)
2355 (x, y) = (185.283, 661.495)
2356 (x, y) = (192.212, 668.706)
2357 (x, y) = (184.91, 675.538)
2358 (x, y) = (194.885, 676.246)
2359 (x, y) = (188.484, 668.563)
2360 (x, y) = (182.014, 676.189)
2361 (x, y) = (177.22, 684.965)
2362 (x, y) = (186.505, 681.25)
2363 (x, y) = (196.348, 679.49)
2364 (x, y) = (187.389, 675.049)
2365 (x, y) = (177.652, 672.768)
2366 (x, y) = (172.781, 664.035)
2367 (x, y) = (181.492, 659.125)
2368 (x, y) = (190.989, 662.257)
2369 (x, y) = (180.995, 662.611)
2370 (x, y) = (187.86, 655.339)
2371 (x, y) = (188.788, 645.382)
2372 (x, y) = (183.46, 636.92)
2373 (x, y) = (173.526, 635.772)
2374 (x, y) = (183.128, 632.978)
2375 (x, y) = (173.159, 632.182)
2376 (x, y) = (179.144, 624.171)
2377 (x, y) = (173.447, 615.952)
2378 (x, y) = (183.097, 613.329)
2379 (x, y) = (176.494, 605.819)
2380 (x, y) = (166.737, 608.013)
2381 (x, y) = (164.5, 598.266)
2382 (x, y) = (174.102, 595.472)
2383 (x, y) = (166.984, 588.448)
2384 (x, y) = (176.424, 591.748)
2385 (x, y) = (183.093, 599.199)
2386 (x, y) = (188.119, 590.554)
2387 (x, y) = (196.83, 585.644)
2388 (x, y) = (194.766, 575.859)
2389 (x, y) = (185.845, 580.379)
2390 (x, y) = (180.974, 571.646)
2391 (x, y) = (186.671, 563.428)
2392 (x, y) = (180.202, 571.053)
2393 (x, y) = (180.069, 581.052)
2394 (x, y) = (170.353, 583.419)
2395 (x, y) = (162.931, 590.121)
2396 (x, y) = (172.647, 592.488)
2397 (x, y) = (180.524, 586.328)
2398 (x, y) = (170.581, 587.388)
2399 (x, y) = (161.469, 591.509)
2400 (x, y) = (164.051, 581.848)
2401 (x, y) = (172.848, 577.092)
2402 (x, y) = (177.407, 568.192)
2403 (x, y) = (183.463, 576.151)
2404 (x, y) = (184.302, 586.115)
2405 (x, y) = (192.069, 579.816)
2406 (x, y) = (186.741, 571.354)
2407 (x, y) = (196.614, 569.768)
2408 (x, y) = (201.174, 560.868)
2409 (x, y) = (192.419, 565.701)
2410 (x, y) = (196.741, 574.719)
2411 (x, y) = (202.726, 566.708)
2412 (x, y) = (208.781, 574.666)
2413 (x, y) = (214.551, 582.834)
2414 (x, y) = (213.535, 592.782)
2415 (x, y) = (203.909, 595.491)
2416 (x, y) = (194.283, 598.2)
2417 (x, y) = (186.981, 605.033)
2418 (x, y) = (193.584, 597.523)
2419 (x, y) = (185.494, 591.645)
2420 (x, y) = (194.843, 588.096)
2421 (x, y) = (202.439, 594.599)
2422 (x, y) = (196.384, 602.557)
2423 (x, y) = (193.462, 612.121)
2424 (x, y) = (202.537, 616.322)
2425 (x, y) = (212.531, 616.676)
2426 (x, y) = (210.035, 626.36)
2427 (x, y) = (217.456, 633.062)
2428 (x, y) = (220.038, 623.401)
2429 (x, y) = (214.56, 631.768)
2430 (x, y) = (222.157, 638.271)
2431 (x, y) = (222.732, 628.287)
2432 (x, y) = (231.123, 622.847)
2433 (x, y) = (235.683, 613.947)
2434 (x, y) = (243.825, 619.753)
2435 (x, y) = (236.228, 626.256)
2436 (x, y) = (227.045, 630.216)
2437 (x, y) = (236.262, 626.338)
2438 (x, y) = (244.886, 621.274)
2439 (x, y) = (245.901, 631.222)
2440 (x, y) = (241.74, 640.315)
2441 (x, y) = (232.138, 637.521)
2442 (x, y) = (235.313, 628.038)
2443 (x, y) = (240.716, 636.453)
2444 (x, y) = (236.314, 627.473)
2445 (x, y) = (240.874, 618.573)
2446 (x, y) = (231.763, 622.695)
2447 (x, y) = (229.612, 632.46)
2448 (x, y) = (219.612, 632.372)
2449 (x, y) = (209.753, 634.045)
2450 (x, y) = (214.391, 642.905)
2451 (x, y) = (222.829, 637.539)
2452 (x, y) = (218.83, 628.374)
2453 (x, y) = (227.268, 623.008)
2454 (x, y) = (231.105, 613.773)
2455 (x, y) = (240.917, 611.839)
2456 (x, y) = (243.583, 621.477)
2457 (x, y) = (234.114, 618.261)
2458 (x, y) = (224.797, 621.892)
2459 (x, y) = (231.13, 629.631)
2460 (x, y) = (232.934, 639.467)
2461 (x, y) = (242.762, 641.315)
2462 (x, y) = (251.34, 646.455)
2463 (x, y) = (242.629, 641.545)
2464 (x, y) = (237.451, 632.989)
2465 (x, y) = (247.145, 630.537)
2466 (x, y) = (242.043, 639.137)
2467 (x, y) = (232.131, 637.814)
2468 (x, y) = (240.116, 631.794)
2469 (x, y) = (230.969, 627.753)
2470 (x, y) = (221.057, 626.429)
2471 (x, y) = (213.29, 620.13)
2472 (x, y) = (206.298, 612.981)
2473 (x, y) = (207.578, 603.063)
2474 (x, y) = (211.497, 612.264)
2475 (x, y) = (221.213, 614.63)
2476 (x, y) = (227.126, 622.695)
2477 (x, y) = (233.528, 615.012)
2478 (x, y) = (229.528, 605.847)
2479 (x, y) = (239.222, 603.395)
2480 (x, y) = (230.511, 598.484)
2481 (x, y) = (222.025, 603.775)
2482 (x, y) = (224.349, 613.501)
2483 (x, y) = (230.886, 605.933)
2484 (x, y) = (230.576, 615.929)
2485 (x, y) = (230.178, 605.937)
2486 (x, y) = (220.893, 602.222)
2487 (x, y) = (215.196, 594.004)
2488 (x, y) = (210.558, 602.863)
2489 (x, y) = (207.468, 612.374)
2490 (x, y) = (210.474, 602.836)
2491 (x, y) = (213.225, 593.222)
2492 (x, y) = (220.218, 586.073)
2493 (x, y) = (215.269, 594.763)
2494 (x, y) = (209.427, 586.647)
2495 (x, y) = (218.182, 591.48)
2496 (x, y) = (221.69, 582.115)
2497 (x, y) = (216.212, 590.482)
2498 (x, y) = (226.146, 589.334)
2499 (x, y) = (236.046, 590.746)
2500 (x, y) = (229.054, 583.597)
2501 (x, y) = (222.061, 576.448)
2502 (x, y) = (215.525, 568.88)
2503 (x, y) = (219.687, 559.787)
2504 (x, y) = (226.805, 552.763)
2505 (x, y) = (226.141, 562.741)
2506 (x, y) = (227.069, 552.784)
2507 (x, y) = (218.584, 558.075)
2508 (x, y) = (214.183, 549.095)
2509 (x, y) = (214.139, 539.096)
2510 (x, y) = (211.643, 548.779)
2511 (x, y) = (216.281, 557.639)
2512 (x, y) = (223.461, 564.599)
2513 (x, y) = (232.535, 568.801)
2514 (x, y) = (233.198, 578.779)
2515 (x, y) = (225.005, 573.045)
2516 (x, y) = (223.027, 582.848)
2517 (x, y) = (229.292, 575.053)
2518 (x, y) = (221.15, 580.859)
2519 (x, y) = (227.619, 588.485)
2520 (x, y) = (218.78, 593.162)
2521 (x, y) = (209.983, 588.406)
2522 (x, y) = (219.917, 587.258)
2523 (x, y) = (222.155, 577.512)
2524 (x, y) = (228.692, 569.944)
2525 (x, y) = (238.535, 568.184)
2526 (x, y) = (241.031, 577.867)
2527 (x, y) = (246.359, 569.405)
2528 (x, y) = (238.269, 563.527)
2529 (x, y) = (244.806, 571.096)
2530 (x, y) = (234.831, 571.803)
2531 (x, y) = (228.917, 579.867)
2532 (x, y) = (236.035, 572.843)
2533 (x, y) = (230.05, 564.831)
2534 (x, y) = (235.152, 573.432)
2535 (x, y) = (227.972, 580.393)
2536 (x, y) = (222.421, 572.075)
2537 (x, y) = (220.27, 581.841)
2538 (x, y) = (223.022, 572.227)
2539 (x, y) = (224.214, 582.155)
2540 (x, y) = (215.417, 577.4)
2541 (x, y) = (220.365, 586.09)
2542 (x, y) = (222.43, 576.305)
2543 (x, y) = (222.74, 586.3)
2544 (x, y) = (228.51, 594.468)
2545 (x, y) = (220.266, 600.129)
2546 (x, y) = (216.675, 609.462)
2547 (x, y) = (217.074, 599.47)
2548 (x, y) = (215.269, 609.306)
2549 (x, y) = (206.158, 613.427)
2550 (x, y) = (213.869, 619.794)
2551 (x, y) = (223.867, 619.971)
2552 (x, y) = (231.464, 626.475)
2553 (x, y) = (222.886, 631.614)
2554 (x, y) = (216.283, 624.104)
2555 (x, y) = (218.087, 633.94)
2556 (x, y) = (227.371, 630.226)
2557 (x, y) = (229.522, 639.992)
2558 (x, y) = (225.441, 649.121)
2559 (x, y) = (219.528, 657.185)
2560 (x, y) = (222.109, 647.524)
2561 (x, y) = (212.109, 647.524)
2562 (x, y) = (204.342, 641.225)
2563 (x, y) = (213.302, 636.784)
2564 (x, y) = (213.965, 646.762)
2565 (x, y) = (203.969, 646.497)
2566 (x, y) = (212.311, 652.011)
2567 (x, y) = (202.411, 653.422)
2568 (x, y) = (208.947, 660.99)
2569 (x, y) = (215.003, 668.948)
2570 (x, y) = (214.163, 678.913)
2571 (x, y) = (220.898, 671.521)
2572 (x, y) = (220.058, 681.486)
2573 (x, y) = (215.816, 672.43)
2574 (x, y) = (220.61, 681.206)
2575 (x, y) = (218.894, 671.354)
2576 (x, y) = (209.711, 675.314)
2577 (x, y) = (216.247, 667.746)
2578 (x, y) = (222.982, 660.354)
2579 (x, y) = (217.88, 668.955)
2580 (x, y) = (214.455, 678.35)
2581 (x, y) = (204.487, 677.554)
2582 (x, y) = (214.064, 674.675)
2583 (x, y) = (204.812, 678.471)
2584 (x, y) = (212.234, 685.174)
2585 (x, y) = (218.969, 677.782)
2586 (x, y) = (211.43, 684.351)
2587 (x, y) = (215.989, 675.452)
2588 (x, y) = (206.214, 673.343)
2589 (x, y) = (196.93, 669.629)
2590 (x, y) = (188.398, 664.413)
2591 (x, y) = (183.526, 655.68)
2592 (x, y) = (193.46, 654.532)
2593 (x, y) = (184.08, 657.999)
2594 (x, y) = (174.136, 659.058)
2595 (x, y) = (176.888, 649.445)
2596 (x, y) = (168.177, 644.534)
2597 (x, y) = (161.775, 636.852)
2598 (x, y) = (164.185, 627.146)
2599 (x, y) = (158.201, 619.135)
2600 (x, y) = (152.65, 610.817)
2601 (x, y) = (150.24, 601.111)
2602 (x, y) = (158.863, 596.048)
2603 (x, y) = (150.24, 590.984)
2604 (x, y) = (144.763, 599.35)
2605 (x, y) = (154.519, 601.545)
2606 (x, y) = (148.186, 609.284)
2607 (x, y) = (147.522, 619.262)
2608 (x, y) = (139.084, 613.896)
2609 (x, y) = (137.542, 604.015)
2610 (x, y) = (143.239, 595.797)
2611 (x, y) = (153.183, 596.857)
2612 (x, y) = (161.221, 602.807)
2613 (x, y) = (153.131, 596.929)
2614 (x, y) = (153.794, 606.907)
2615 (x, y) = (163.045, 610.703)
2616 (x, y) = (172.33, 606.989)
2617 (x, y) = (162.89, 610.289)
2618 (x, y) = (156.488, 602.606)
2619 (x, y) = (165.805, 606.238)
2620 (x, y) = (157.138, 611.225)
2621 (x, y) = (157.536, 601.233)
2622 (x, y) = (148.039, 604.365)
2623 (x, y) = (148.437, 594.373)
2624 (x, y) = (139.027, 590.99)
2625 (x, y) = (132.832, 598.839)
2626 (x, y) = (123.056, 596.731)
2627 (x, y) = (132.706, 594.107)
2628 (x, y) = (123.209, 597.239)
2629 (x, y) = (117.806, 588.825)
2630 (x, y) = (127.432, 591.534)
2631 (x, y) = (118.854, 596.674)
2632 (x, y) = (109.855, 601.035)
2633 (x, y) = (113.113, 610.49)
2634 (x, y) = (122.224, 614.611)
2635 (x, y) = (130.047, 620.841)
2636 (x, y) = (120.188, 622.514)
2637 (x, y) = (110.244, 623.574)
2638 (x, y) = (100.244, 623.486)
2639 (x, y) = (110.001, 625.68)
2640 (x, y) = (100.306, 623.228)
2641 (x, y) = (105.1, 632.003)
2642 (x, y) = (99.8467, 640.512)
2643 (x, y) = (104.485, 649.372)
2644 (x, y) = (104.264, 639.374)
2645 (x, y) = (108.744, 648.314)
2646 (x, y) = (110.374, 658.181)
2647 (x, y) = (106.866, 648.816)
2648 (x, y) = (96.9927, 647.23)
2649 (x, y) = (100.501, 637.865)
2650 (x, y) = (95.6291, 629.132)
2651 (x, y) = (105.563, 627.984)
2652 (x, y) = (114.141, 633.124)
2653 (x, y) = (123.934, 635.146)
2654 (x, y) = (131.236, 641.978)
2655 (x, y) = (141.148, 640.655)
2656 (x, y) = (132.149, 645.016)
